Base de datos,Porcentaje de uso
MySQL,18.5%
PostgreSQL,11.2%
Microsoft SQL Server,10.3%
SQLite,8.1%
MongoDB,7.9%
Oracle Database,5.6%
Redis,4.2%
Elasticsearch,3.7%
MariaDB,3.6%
IBM Db2,2.5%
Firebase Realtime Database,2.1%
Cassandra,2.0%
Couchbase,1.8%
Microsoft Access,1.6%
Neo4j,1.4%
DynamoDB,1.3%
Apache HBase,1.1%
Amazon Redshift,1.0%
CockroachDB,0.9%
ClickHouse,0.8%
InfluxDB,0.7%
Teradata,0.6%
Snowflake,0.6%
Memcached,0.5%
SAP HANA,0.5%
OrientDB,0.4%
PrestoDB,0.4%
InterSystems Caché,0.3%
Amazon Aurora,0.3%
Greenplum,0.2%
